HomeTeam,AwayTeam,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
ManC,Chelsea,1,0,0,1,16,6,4,2,16,12,14,2,3,4,1,0
Arsenal,Tottenham,1,0,0,1,16,6,6,4,7,16,15,5,3,6,0,0
Liverpool,Everton,1,0,0,1,24,11,8,5,8,9,8,2,2,1,0,0
Chelsea,Arsenal,2,1,0,2,5,10,3,0,14,10,2,2,4,3,0,0
ManU,Everton,2,1,0,2,15,10,4,6,18,11,11,6,4,3,0,0
ManC,Tottenham,2,2,1,2,20,19,12,7,11,9,3,4,1,2,0,1
ManU,Chelsea,1,0,0,1,19,9,7,4,13,14,4,7,3,5,0,1
ManC,ManU,2,0,0,1,16,9,6,2,15,9,7,4,3,1,0,1
Liverpool,Chelsea,0,1,1,1,12,15,4,5,9,12,5,7,2,5,0,0
Arsenal,ManU,0,0,0,1,23,12,9,2,12,8,11,5,2,1,0,0
Tottenham,Everton,2,2,1,2,13,10,6,5,15,5,3,4,5,1,0,0
Chelsea,Tottenham,2,2,0,2,12,10,8,2,9,9,1,6,1,1,0,0
ManC,Everton,2,1,0,2,19,9,3,2,8,11,11,7,3,3,0,0
ManU,Liverpool,2,2,0,2,11,19,6,9,13,14,2,7,4,3,0,0
Liverpool,Arsenal,1,1,1,1,27,7,10,3,6,14,10,6,0,3,1,0
Tottenham,ManU,1,0,0,1,9,9,4,5,11,19,3,6,2,4,0,0
Tottenham,Chelsea,2,3,1,2,11,19,8,7,14,10,5,3,3,1,0,0
Everton,ManC,1,0,0,1,11,18,4,2,9,10,4,9,1,2,0,0
ManC,Arsenal,0,0,1,0,12,9,4,3,12,5,16,3,3,3,0,0
Chelsea,ManC,1,1,1,1,3,10,2,5,12,14,1,4,0,2,0,0
Everton,Liverpool,1,0,0,1,6,17,1,6,11,7,3,6,4,1,0,0
Tottenham,Arsenal,2,0,1,0,23,7,8,3,8,12,10,3,3,5,0,0
Liverpool,Tottenham,2,1,1,1,16,14,7,5,13,17,5,7,3,6,0,0
Chelsea,Everton,2,0,0,1,21,7,7,4,8,13,10,2,3,3,0,1
Arsenal,Everton,2,1,0,2,17,8,4,2,12,5,8,9,2,0,0,0
Liverpool,ManC,2,1,1,1,11,8,5,1,8,16,3,0,1,3,0,0
ManU,Tottenham,2,3,0,2,11,5,3,1,12,10,4,2,1,1,0,0
Liverpool,ManU,0,0,1,0,7,6,1,4,14,17,2,3,2,2,1,0
Arsenal,Liverpool,2,3,0,2,16,13,10,2,7,9,6,5,1,0,0,1
ManU,ManC,2,2,1,2,11,10,7,3,9,16,1,5,0,3,0,0
Chelsea,ManU,2,1,0,2,7,15,2,2,13,11,3,7,7,1,0,0
Arsenal,Chelsea,1,0,0,1,12,7,1,3,17,11,6,2,4,3,0,0
Everton,ManU,2,2,0,2,9,17,7,4,6,10,7,7,0,2,0,0
Tottenham,ManC,0,0,1,0,21,15,5,4,6,11,8,7,3,4,0,0
Chelsea,Liverpool,1,1,1,1,8,15,3,4,13,11,6,4,4,3,0,0
ManU,Arsenal,1,1,0,2,12,5,4,3,16,8,5,5,1,0,0,0
Everton,Tottenham,0,0,1,0,9,16,1,3,12,8,3,5,1,2,0,0
ManU,Tottenham,2,1,0,2,9,9,1,4,12,12,1,2,2,3,0,0
ManC,Chelsea,2,1,0,2,18,10,8,3,19,13,5,1,4,2,0,0
Everton,ManC,0,0,0,1,10,16,1,9,5,7,8,7,0,3,0,0
Arsenal,Liverpool,1,0,0,1,19,15,5,8,2,13,7,8,1,4,0,0
Tottenham,Everton,1,0,0,1,20,8,6,3,20,9,6,2,4,1,0,0
Everton,Chelsea,2,2,1,2,14,15,9,2,12,12,7,14,2,2,0,0
ManU,Liverpool,2,0,0,1,9,8,3,4,6,11,4,4,1,2,0,0
Chelsea,Arsenal,2,0,0,1,22,9,7,2,12,11,5,5,3,1,0,2
Tottenham,ManC,2,1,1,1,15,22,8,8,17,6,5,9,5,1,0,0
Arsenal,ManU,2,3,0,2,12,9,5,5,8,17,3,6,1,3,0,0
Everton,Liverpool,1,1,1,1,14,13,4,4,10,19,5,11,3,3,0,0
Everton,ManU,0,0,2,0,12,10,3,7,12,14,5,3,2,2,0,0
Tottenham,Liverpool,1,0,0,1,13,12,4,3,15,11,8,6,1,2,0,0
Arsenal,Everton,2,2,1,2,20,10,5,5,11,14,7,5,2,0,0,1
ManU,ManC,1,0,0,1,6,6,1,1,17,13,6,4,2,2,0,0
Chelsea,Liverpool,0,1,1,1,8,16,2,7,9,21,1,7,1,4,0,0
Arsenal,Tottenham,1,0,1,0,10,14,4,4,12,17,7,6,0,1,0,0
ManC,Liverpool,0,1,3,0,11,14,3,9,5,13,11,5,0,3,0,0
Tottenham,Chelsea,1,0,0,1,9,5,4,1,14,9,4,4,4,2,0,0
Arsenal,ManC,2,2,0,2,8,20,5,6,5,16,4,8,0,2,0,0
ManU,Chelsea,1,0,0,1,12,8,2,3,16,6,5,3,4,2,0,0
Everton,Tottenham,1,1,1,1,12,19,3,4,8,11,4,4,1,2,0,0
Liverpool,Arsenal,1,2,2,1,22,14,6,5,9,7,9,3,2,0,0,0
ManC,Everton,1,0,0,1,22,7,5,2,5,6,12,5,0,1,0,0
Chelsea,Everton,1,0,0,1,14,9,7,4,12,5,6,4,1,1,0,0
Liverpool,ManU,0,0,0,1,19,7,4,1,6,18,5,4,0,2,0,0
Arsenal,Chelsea,0,0,1,0,9,12,1,6,14,13,6,7,1,3,1,0
Chelsea,ManU,1,0,0,1,16,17,5,7,6,9,10,11,0,3,0,0
ManC,Tottenham,0,0,0,1,19,6,4,3,12,17,7,1,1,3,0,0
ManU,Arsenal,2,2,1,2,7,13,5,5,21,15,2,3,4,3,0,0
Liverpool,ManC,2,2,0,2,11,4,7,2,14,14,3,2,0,1,0,0
Tottenham,Arsenal,1,0,1,0,26,10,11,4,9,10,9,2,2,2,0,1
Everton,Arsenal,0,0,2,0,8,11,2,3,7,10,7,5,0,0,0,0
ManC,ManU,0,0,1,0,26,5,2,3,9,12,11,5,1,1,0,0
Liverpool,Tottenham,1,0,0,1,15,18,7,5,11,11,12,9,2,0,0,0
ManU,Everton,2,0,0,1,10,7,2,1,15,6,5,5,2,0,0,0
Tottenham,ManU,2,0,0,1,16,5,8,1,10,10,2,7,3,3,0,0
Chelsea,ManC,0,0,1,0,11,11,4,8,12,15,11,3,2,3,1,0
Liverpool,Everton,2,2,0,2,37,3,13,0,8,11,9,1,1,1,0,1
Chelsea,Tottenham,1,0,2,0,13,16,5,5,9,20,7,8,3,9,0,0
ManC,Arsenal,1,1,1,1,14,5,3,2,16,10,7,2,2,1,0,0
Liverpool,Chelsea,1,0,1,0,28,13,9,7,11,12,7,3,3,1,0,0
Everton,Tottenham,1,1,0,2,12,13,6,4,10,14,5,6,0,0,0,0
Arsenal,Liverpool,0,1,1,1,9,16,5,7,13,17,5,4,3,3,0,0
Tottenham,Liverpool,1,0,1,0,11,13,4,3,11,17,5,5,3,5,0,0
ManU,ManC,0,1,2,0,14,18,3,6,15,10,4,4,4,2,0,0
Chelsea,Liverpool,0,0,2,0,12,13,4,5,6,13,6,4,1,1,0,0
Arsenal,Chelsea,2,3,0,2,14,9,5,2,9,11,9,1,0,2,0,0
Tottenham,ManC,2,2,0,2,13,12,7,6,20,10,4,3,2,2,0,0
ManC,Everton,1,0,0,1,19,3,8,2,7,9,13,1,0,2,0,0
Liverpool,ManU,1,0,0,1,9,7,3,1,14,20,3,1,0,4,0,0
Chelsea,ManU,2,2,0,2,14,16,6,5,7,17,5,7,3,2,0,0
Chelsea,Everton,2,3,0,2,21,1,9,0,5,16,4,2,0,3,0,0
Arsenal,Tottenham,1,1,0,2,15,10,2,3,11,17,7,2,1,2,0,0
ManU,Arsenal,1,0,0,1,12,5,5,1,14,11,10,4,3,3,0,0
Chelsea,Tottenham,2,1,1,1,9,12,5,6,13,16,3,8,2,1,0,0
ManC,Chelsea,0,1,0,2,14,10,5,4,14,9,9,2,2,3,2,0
Everton,ManU,1,0,1,0,13,10,6,2,13,11,6,3,2,3,0,0
ManU,Tottenham,2,1,0,2,15,12,5,4,19,17,3,8,3,3,0,0
Everton,Arsenal,2,1,1,1,14,9,4,3,10,10,8,3,1,1,1,0
ManC,Arsenal,2,0,1,0,14,6,5,1,9,13,8,1,4,2,0,0
Everton,Liverpool,0,0,0,1,6,11,1,4,13,9,1,6,3,1,0,0
Liverpool,ManC,2,1,0,2,5,9,1,2,12,12,4,6,2,1,0,0
Tottenham,Chelsea,2,1,0,2,9,11,2,2,9,8,1,6,3,2,0,0
Everton,ManC,2,1,0,2,6,13,4,5,17,7,3,6,2,2,0,0
ManU,Liverpool,1,0,1,0,9,13,3,4,17,13,5,7,1,3,0,0
ManC,Tottenham,1,0,0,1,17,6,7,2,10,7,5,4,2,4,0,0
Liverpool,Chelsea,1,0,1,0,7,8,3,2,13,8,3,3,2,1,0,0
Chelsea,Arsenal,2,1,0,2,13,9,6,5,14,8,10,13,1,1,0,0
